parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.1910299,2021-08-01T00:39:00Z,487,150,602,1[Anlagenring],2021-08-01T00:37:01.869Z
0.06318682,2021-08-01T00:39:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T00:37:01.869Z
0.45101213,2021-08-01T00:39:00Z,678,0,1235,5[Dom / Römer],2021-08-01T00:37:01.869Z
0.274,2021-08-01T00:39:00Z,1089,45,1500,2[Zeil],2021-08-01T00:37:01.869Z
0.16943522,2021-08-01T01:55:00Z,500,150,602,1[Anlagenring],2021-08-01T01:52:00.683Z
0.06318682,2021-08-01T01:55:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T01:52:00.683Z
0.3854251,2021-08-01T01:55:00Z,759,0,1235,5[Dom / Römer],2021-08-01T01:52:00.683Z
0.27066666,2021-08-01T01:55:00Z,1094,45,1500,2[Zeil],2021-08-01T01:52:00.683Z
0.16943522,2021-08-01T02:25:00Z,500,150,602,1[Anlagenring],2021-08-01T02:22:01.506Z
0.06318682,2021-08-01T02:25:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T02:22:01.506Z
0.37327936,2021-08-01T02:25:00Z,774,0,1235,5[Dom / Römer],2021-08-01T02:22:01.506Z
0.27066666,2021-08-01T02:25:00Z,1094,45,1500,2[Zeil],2021-08-01T02:22:01.506Z
0.1627907,2021-08-01T02:50:00Z,504,150,602,1[Anlagenring],2021-08-01T02:47:00.839Z
0.06318682,2021-08-01T02:50:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T02:47:00.839Z
0.3659919,2021-08-01T02:50:00Z,783,0,1235,5[Dom / Römer],2021-08-01T02:47:00.839Z
0.27066666,2021-08-01T02:50:00Z,1094,45,1500,2[Zeil],2021-08-01T02:47:00.839Z
0.1627907,2021-08-01T03:00:00Z,504,150,602,1[Anlagenring],2021-08-01T02:57:02.893Z
0.06318682,2021-08-01T03:00:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T02:57:02.893Z
0.36275303,2021-08-01T03:00:00Z,787,0,1235,5[Dom / Römer],2021-08-01T02:57:02.893Z
0.26866665,2021-08-01T03:00:00Z,1097,45,1500,2[Zeil],2021-08-01T02:57:02.893Z
0.16112956,2021-08-01T03:25:00Z,505,150,602,1[Anlagenring],2021-08-01T03:22:00.864Z
0.06043956,2021-08-01T03:25:00Z,342,0,364,4[Bahnhofsviertel],2021-08-01T03:22:00.864Z
0.36194333,2021-08-01T03:25:00Z,788,0,1235,5[Dom / Römer],2021-08-01T03:22:00.864Z
0.26777408,2021-08-01T03:25:00Z,1102,45,1505,2[Zeil],2021-08-01T03:22:00.864Z
0.16112956,2021-08-01T03:40:00Z,505,150,602,1[Anlagenring],2021-08-01T03:37:00.533Z
