parkingAreaOccupancy;parkingAreaStatusTime;parkingAreaTotalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityShortTermOverride;id;TIME
0.14721723;2021-11-01T05:07:00Z;475;200;557;1[Anlagenring];2021-11-01T05:07:02.018Z
0.052197803;2021-11-01T05:07:00Z;345;0;364;4[Bahnhofsviertel];2021-11-01T05:07:02.018Z
0.34331983;2021-11-01T05:07:00Z;811;0;1235;5[Dom / Römer];2021-11-01T05:07:02.018Z
0.29502264;2021-11-01T05:07:00Z;1558;70;2210;2[Zeil];2021-11-01T05:07:02.018Z
0.14721723;2021-11-01T05:17:00Z;475;200;557;1[Anlagenring];2021-11-01T05:17:02.893Z
0.06868132;2021-11-01T05:17:00Z;339;0;364;4[Bahnhofsviertel];2021-11-01T05:17:02.893Z
0.34412956;2021-11-01T05:17:00Z;810;0;1235;5[Dom / Römer];2021-11-01T05:17:02.893Z
0.4391172;2021-11-01T05:17:00Z;737;0;1314;2[Zeil];2021-11-01T05:17:02.893Z
0.15439856;2021-11-01T05:32:00Z;471;200;557;1[Anlagenring];2021-11-01T05:32:02.955Z
0.09065934;2021-11-01T05:32:00Z;331;0;364;4[Bahnhofsviertel];2021-11-01T05:32:02.955Z
0.3465587;2021-11-01T05:32:00Z;807;0;1235;5[Dom / Römer];2021-11-01T05:32:02.955Z
0.29954752;2021-11-01T05:32:00Z;1548;70;2210;2[Zeil];2021-11-01T05:32:02.955Z
0.15439856;2021-11-01T05:42:00Z;471;200;557;1[Anlagenring];2021-11-01T05:42:00.807Z
0.10989011;2021-11-01T05:42:00Z;324;0;364;4[Bahnhofsviertel];2021-11-01T05:42:00.807Z
0.34736842;2021-11-01T05:42:00Z;806;0;1235;5[Dom / Römer];2021-11-01T05:42:00.807Z
0.3004525;2021-11-01T05:42:00Z;1546;70;2210;2[Zeil];2021-11-01T05:42:00.807Z
0.18312387;2021-11-01T06:32:00Z;455;200;557;1[Anlagenring];2021-11-01T06:32:01.990Z
0.13736264;2021-11-01T06:32:00Z;314;0;364;4[Bahnhofsviertel];2021-11-01T06:32:01.990Z
0.35870445;2021-11-01T06:32:00Z;792;0;1235;5[Dom / Römer];2021-11-01T06:32:01.990Z
0.31131223;2021-11-01T06:32:00Z;1522;70;2210;2[Zeil];2021-11-01T06:32:01.990Z
0.2010772;2021-11-01T06:48:00Z;445;200;557;1[Anlagenring];2021-11-01T06:47:01.971Z
0.16483517;2021-11-01T06:48:00Z;304;0;364;4[Bahnhofsviertel];2021-11-01T06:47:01.971Z
0.35951418;2021-11-01T06:48:00Z;791;0;1235;5[Dom / Römer];2021-11-01T06:47:01.971Z
0.3244344;2021-11-01T06:48:00Z;1493;70;2210;2[Zeil];2021-11-01T06:47:01.971Z
