eventtitle,views,place,address,eventday,eventdate,request
LIVE x ICHI ICHI w/Nepumuk,3041,Tanzhaus West/Dora Brilliant,"60327 Frankfurt am Main, Gutleutstraße 294",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Verurteilt! Der Gerichtspodcast - Live,8591,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Der Zauberer von Oz,2473,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Die Akte Jedermann,1872,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Hairspray - Das Broadway-Musical,1509,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Löwen Frankfurt,550,Löwen Frankfurt,"60386 Frankfurt am Main, Am Bornheimer Hang 4",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Martinsvierteler Markt,649,Riegerplatz,64289 Darmstadt,Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Online Tour Bunte Götter,494,Liebieghaus Skulpturensammlung,"60596 Frankfurt am Main, Schaumainkai 71",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Wochenmarkt Bornheim,472,Wochenmarkt Bornheim,"60385 Frankfurt am Main, Berger Straße 194",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Wochenmarkt Rödelheim,550,Wochenmarkt Rödelheim,"60489 Frankfurt am Main, Arthur-Stern-Platz",Mittwoch,2021-06-30,2021-06-29T16:57:00.106973Z
Populismus-Kultur-Kampf,,Goethe Universität,"60323 Frankfurt am Main, Grüneburgplatz 1",Donnerstag,2021-07-01,2021-06-29T16:57:01.713767Z
Kafvka,1374,Batschkapp,"60388 Frankfurt am Main, Gwinnerstraße 5",Donnerstag,2021-07-01,2021-06-29T16:57:01.713767Z
50:50 von und mit Lukas Schmied,1546,Carl-Zuckmayer-Halle,"55299 Nackenheim, Lörzweiler Straße 15",Donnerstag,2021-07-01,2021-06-29T16:57:01.713767Z
Alex Kristan - Heimvorteil,2530,Jahnturnhalle,"64521 Groß-Gerau, Jahnstraße",Donnerstag,2021-07-01,2021-06-29T16:57:01.713767Z
