parkingFacilityOccupancy,parkingFacilityStatus,parkingFacilityStatusTime,totalNumberOfOccupiedParkingSpaces,totalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityOverride,totalParkingCapacityShortTermOverride,id,TIME
0.94400895,open,2021-06-24T14:56:00Z,843,50,0,893,893,24277[Börse],2021-06-24T14:57:02.698Z
0.6492537,open,2021-06-24T14:56:00Z,261,141,0,402,402,18944[Alte Oper],2021-06-24T14:57:02.698Z
0.16483517,open,2021-06-24T14:56:00Z,60,304,0,364,364,24281[Hauptbahnhof Süd],2021-06-24T14:57:02.698Z
0.546875,open,2021-06-24T14:56:00Z,210,174,0,384,384,105479[Baseler Platz],2021-06-24T14:57:02.698Z
0.6588381,open,2021-06-24T14:56:00Z,533,276,0,809,809,24279[Konstabler],2021-06-24T14:57:02.698Z
0.899061,open,2021-06-24T14:56:00Z,383,43,0,426,426,18497[Hauptwache],2021-06-24T14:57:02.698Z
0.44117647,open,2021-06-24T14:56:00Z,300,380,0,680,680,18495[Am Gericht],2021-06-24T14:57:02.698Z
0.30150753,open,2021-06-24T14:56:00Z,240,556,75,871,796,109240[MyZeil],2021-06-24T14:57:02.698Z
0.21510673,open,2021-06-24T14:56:00Z,131,478,0,609,609,18494[Konrad-Adenauer-Straße],2021-06-24T14:57:02.698Z
0.52958155,open,2021-06-24T14:56:00Z,367,326,0,693,693,24278[Karstadt],2021-06-24T14:57:02.698Z
0.94400895,open,2021-06-24T15:31:00Z,843,50,0,893,893,24277[Börse],2021-06-24T15:32:01.991Z
0.619403,open,2021-06-24T15:31:00Z,249,153,0,402,402,18944[Alte Oper],2021-06-24T15:32:01.991Z
0.13461539,open,2021-06-24T15:31:00Z,49,315,0,364,364,24281[Hauptbahnhof Süd],2021-06-24T15:32:01.991Z
0.5104167,open,2021-06-24T15:31:00Z,196,188,0,384,384,105479[Baseler Platz],2021-06-24T15:32:01.991Z
0.6131026,open,2021-06-24T15:31:00Z,496,313,0,809,809,24279[Konstabler],2021-06-24T15:32:01.991Z
0.8685446,open,2021-06-24T15:31:00Z,370,56,0,426,426,18497[Hauptwache],2021-06-24T15:32:01.991Z
0.4117647,open,2021-06-24T15:31:00Z,280,400,0,680,680,18495[Am Gericht],2021-06-24T15:32:01.991Z
0.2851759,open,2021-06-24T15:31:00Z,227,569,75,871,796,109240[MyZeil],2021-06-24T15:32:01.991Z
0.15763547,open,2021-06-24T15:31:00Z,96,513,0,609,609,18494[Konrad-Adenauer-Straße],2021-06-24T15:32:01.991Z
0.4935065,open,2021-06-24T15:31:00Z,342,351,0,693,693,24278[Karstadt],2021-06-24T15:32:01.991Z
0.94400895,open,2021-06-24T15:51:00Z,843,50,0,893,893,24277[Börse],2021-06-24T15:52:01.707Z
